"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-12-01",0.7443984566,0.3895741585,0.4695321525,0.5827325596,0.0509245284,0.6757917528,0.5181702613,0.6583852182,0.6023903331,0.2272415662,0.5268920764,0.5957023093,0.7262750202,0.6334145525,0.692094874,0.4077712416,0.406295738,-0.2312113684,0.6794799793,0.5100684829,0.5632662098,1.0570545079,0.2448723361,0.4388382526,0.7547232046,-0.1063848895,0.7474963654,-0.4869270149,0.8439174575,-0.7276795127
"1983-01-01",0.2775575489,-0.2070345649,-0.0156264386,0.141528896,-0.4300208642,0.2212807851,-0.1879417734,-0.0920046702,0.1484490003,-0.224583264,0.0806730251,-0.0081383967,0.1587945752,0.0904613536,0.2234080542,-0.043048827,-0.1171331592,-0.5894501222,-0.0004679834,0.0958587568,0.1195840668,0.4281289953,-0.3023311971,0.0310335874,0.5408450749,-0.5080094921,0.3255596478,-0.9090224168,0.5612513674,-1.18319735
"1983-02-01",-0.3948650929,-0.9994360118,-0.5247491991,-0.266967492,-0.926404133,-0.4708241627,-0.7271505431,-0.9135784065,-0.2539223822,-0.9988929117,-0.5109677138,-0.5703558371,-0.6446714675,-0.5559464525,-0.467340063,-0.4884579228,-0.8235974928,-1.0905786938,-0.7434164783,-0.4208854917,-0.3928870402,-0.0778224887,-0.9560394044,-0.5518064682,0.1609461274,-0.9114472185,-0.0939816443,-1.5053411985,0.0002695407,-1.7016672981
"1983-03-01",-0.7593951589,-1.4750637938,-1.0282506544,-0.4349313567,-1.1828275281,-0.8434450833,-1.1898924798,-1.3369459518,-0.563360546,-1.2887755394,-0.9031826854,-1.1415139982,-1.1224024965,-0.9030179448,-0.8189629538,-0.9514234269,-1.2332015916,-1.2575758858,-1.1572636712,-0.8302917178,-0.6189954946,-0.5279071284,-1.1992501921,-0.807112062,0.0172595586,-1.1569714751,-0.4183350449,-1.6522864876,-0.2116538331,-1.9495204778
"1983-04-01",-0.7754807899,-1.4937307368,-1.0470613581,-0.4182219839,-1.2083696336,-0.8181589714,-1.2278661358,-1.3443199518,-0.6149642266,-1.4145381996,-0.8699169313,-1.1737366237,-1.1152619588,-0.9304421913,-0.8313715309,-0.9404682899,-1.2740196243,-1.310098957,-1.1844645546,-0.8203335918,-0.6422087017,-0.5525945617,-1.2287030995,-0.8624257459,-0.0786819117,-1.1973558475,-0.4802039138,-1.684422802,-0.2450945893,-1.9695459876
